"test name","browser","collection size","time"
"h1, no cache","firefox 71",500,7.538
"h1, no cache","firefox 71",500,5.856
"h1, no cache","firefox 71",500,5.872
"h1, no cache","firefox 71",500,5.807
"h1, no cache","firefox 71",500,9.159
"h1, no cache","firefox 71",500,5.825
"h1, no cache","firefox 71",500,5.872
"h1, no cache","firefox 71",500,5.764
"h1, no cache","firefox 71",500,9.011
"h1, no cache","firefox 71",500,5.759
"h1, no cache","firefox 71",500,5.795
"h1, no cache","firefox 71",500,5.749
"h1, no cache","firefox 71",500,9.06
"h1, no cache","firefox 71",500,5.738
"h1, no cache","firefox 71",500,5.759
"h1, no cache","firefox 71",500,5.87
"h1, no cache","firefox 71",500,6.924
"h1, no cache","firefox 71",500,7.502
"h1, no cache","firefox 71",500,5.766
"h1, no cache","firefox 71",500,5.818
"h1, no cache","firefox 71",500,5.821
"h1, no cache","firefox 71",500,9.128
"h1, no cache","firefox 71",500,5.783
"h1, no cache","firefox 71",500,5.744
"h1, no cache","firefox 71",500,5.76
"h1, no cache","firefox 71",500,9.07
"h1, no cache","firefox 71",500,5.721
"h1, no cache","firefox 71",500,5.696
"h1, no cache","firefox 71",500,5.708
"h1, no cache","firefox 71",500,8.479
"h1, no cache","firefox 71",500,6.003
"h1, no cache","firefox 71",500,5.738
"h1, no cache","firefox 71",500,5.79
"h1, no cache","firefox 71",500,5.848
"h1, no cache","firefox 71",500,12.556
"h1, no cache","firefox 71",500,8.231
"h1, no cache","firefox 71",500,5.7
"h1, no cache","firefox 71",500,11.716
"h1, no cache","firefox 71",500,6.197
"h1, no cache","firefox 71",500,5.741
"h1, no cache","firefox 71",500,5.692
"h1, no cache","firefox 71",500,5.772
"h1, no cache","firefox 71",500,8.964
"h1, no cache","firefox 71",500,5.678
"h1, no cache","firefox 71",500,5.662
"h1, no cache","firefox 71",500,5.693
"h1, no cache","firefox 71",500,9.071
"h1, no cache","firefox 71",500,5.644
"h1, no cache","firefox 71",500,5.683
"h1, no cache","firefox 71",500,5.701
"h1, no cache, compound","firefox 71",500,0.613
"h1, no cache, compound","firefox 71",500,0.321
"h1, no cache, compound","firefox 71",500,0.343
"h1, no cache, compound","firefox 71",500,0.341
"h1, no cache, compound","firefox 71",500,0.349
"h1, no cache, compound","firefox 71",500,0.337
"h1, no cache, compound","firefox 71",500,0.338
"h1, no cache, compound","firefox 71",500,0.343
"h1, no cache, compound","firefox 71",500,0.303
"h1, no cache, compound","firefox 71",500,0.336
"h1, no cache, compound","firefox 71",500,0.339
"h1, no cache, compound","firefox 71",500,0.33
"h1, no cache, compound","firefox 71",500,0.325
"h1, no cache, compound","firefox 71",500,0.31
"h1, no cache, compound","firefox 71",500,0.325
"h1, no cache, compound","firefox 71",500,0.307
"h1, no cache, compound","firefox 71",500,0.327
"h1, no cache, compound","firefox 71",500,0.391
"h1, no cache, compound","firefox 71",500,0.436
"h1, no cache, compound","firefox 71",500,0.46
"h1, no cache, compound","firefox 71",500,0.464
"h1, no cache, compound","firefox 71",500,0.459
"h1, no cache, compound","firefox 71",500,0.469
"h1, no cache, compound","firefox 71",500,0.462
"h1, no cache, compound","firefox 71",500,0.469
"h1, no cache, compound","firefox 71",500,0.457
"h1, no cache, compound","firefox 71",500,0.596
"h1, no cache, compound","firefox 71",500,1.102
"h1, no cache, compound","firefox 71",500,1.149
"h1, no cache, compound","firefox 71",500,0.72
"h1, no cache, compound","firefox 71",500,0.325
"h1, no cache, compound","firefox 71",500,0.39
"h1, no cache, compound","firefox 71",500,0.405
"h1, no cache, compound","firefox 71",500,0.389
"h1, no cache, compound","firefox 71",500,0.398
"h1, no cache, compound","firefox 71",500,0.394
"h1, no cache, compound","firefox 71",500,0.315
"h1, no cache, compound","firefox 71",500,0.405
"h1, no cache, compound","firefox 71",500,0.392
"h1, no cache, compound","firefox 71",500,0.327
"h1, no cache, compound","firefox 71",500,0.399
"h1, no cache, compound","firefox 71",500,0.312
"h1, no cache, compound","firefox 71",500,0.392
"h1, no cache, compound","firefox 71",500,0.309
"h1, no cache, compound","firefox 71",500,0.396
"h1, no cache, compound","firefox 71",500,0.395
"h1, no cache, compound","firefox 71",500,0.326
"h1, no cache, compound","firefox 71",500,0.307
"h1, no cache, compound","firefox 71",500,0.382
"h1, no cache, compound","firefox 71",500,0.319
"h1, 90% cached","firefox 71",500,0.814
"h1, 90% cached","firefox 71",500,0.758
"h1, 90% cached","firefox 71",500,0.791
"h1, 90% cached","firefox 71",500,0.768
"h1, 90% cached","firefox 71",500,0.768
"h1, 90% cached","firefox 71",500,0.831
"h1, 90% cached","firefox 71",500,1.074
"h1, 90% cached","firefox 71",500,0.754
"h1, 90% cached","firefox 71",500,0.755
"h1, 90% cached","firefox 71",500,0.769
"h1, 90% cached","firefox 71",500,1.949
"h1, 90% cached","firefox 71",500,0.803
"h1, 90% cached","firefox 71",500,0.765
"h1, 90% cached","firefox 71",500,1.284
"h1, 90% cached","firefox 71",500,0.777
"h1, 90% cached","firefox 71",500,0.764
"h1, 90% cached","firefox 71",500,0.755
"h1, 90% cached","firefox 71",500,1.689
"h1, 90% cached","firefox 71",500,0.777
"h1, 90% cached","firefox 71",500,0.755
"h1, 90% cached","firefox 71",500,0.773
"h1, 90% cached","firefox 71",500,0.768
"h1, 90% cached","firefox 71",500,0.758
"h1, 90% cached","firefox 71",500,0.815
"h1, 90% cached","firefox 71",500,0.774
"h1, 90% cached","firefox 71",500,0.761
"h1, 90% cached","firefox 71",500,0.777
"h1, 90% cached","firefox 71",500,0.76
"h1, 90% cached","firefox 71",500,2.582
"h1, 90% cached","firefox 71",500,0.767
"h1, 90% cached","firefox 71",500,0.779
"h1, 90% cached","firefox 71",500,0.818
"h1, 90% cached","firefox 71",500,0.761
"h1, 90% cached","firefox 71",500,0.808
"h1, 90% cached","firefox 71",500,0.759
"h1, 90% cached","firefox 71",500,0.779
"h1, 90% cached","firefox 71",500,0.763
"h1, 90% cached","firefox 71",500,0.853
"h1, 90% cached","firefox 71",500,0.827
"h1, 90% cached","firefox 71",500,2.014
"h1, 90% cached","firefox 71",500,0.788
"h1, 90% cached","firefox 71",500,0.723
"h1, 90% cached","firefox 71",500,0.771
"h1, 90% cached","firefox 71",500,0.907
"h1, 90% cached","firefox 71",500,0.764
"h1, 90% cached","firefox 71",500,0.762
"h1, 90% cached","firefox 71",500,0.782
"h1, 90% cached","firefox 71",500,1.535
"h1, 90% cached","firefox 71",500,0.772
"h1, 90% cached","firefox 71",500,0.858
"h2, no cache","firefox 71",500,0.991
"h2, no cache","firefox 71",500,0.715
"h2, no cache","firefox 71",500,0.701
"h2, no cache","firefox 71",500,0.649
"h2, no cache","firefox 71",500,3.51
"h2, no cache","firefox 71",500,1.978
"h2, no cache","firefox 71",500,1.04
"h2, no cache","firefox 71",500,0.916
"h2, no cache","firefox 71",500,0.826
"h2, no cache","firefox 71",500,0.881
"h2, no cache","firefox 71",500,0.794
"h2, no cache","firefox 71",500,0.765
"h2, no cache","firefox 71",500,0.77
"h2, no cache","firefox 71",500,0.757
"h2, no cache","firefox 71",500,0.679
"h2, no cache","firefox 71",500,0.726
"h2, no cache","firefox 71",500,0.687
"h2, no cache","firefox 71",500,0.694
"h2, no cache","firefox 71",500,0.662
"h2, no cache","firefox 71",500,0.67
"h2, no cache","firefox 71",500,0.618
"h2, no cache","firefox 71",500,0.598
"h2, no cache","firefox 71",500,0.78
"h2, no cache","firefox 71",500,0.635
"h2, no cache","firefox 71",500,0.69
"h2, no cache","firefox 71",500,3.054
"h2, no cache","firefox 71",500,1.695
"h2, no cache","firefox 71",500,0.775
"h2, no cache","firefox 71",500,0.77
"h2, no cache","firefox 71",500,0.723
"h2, no cache","firefox 71",500,0.728
"h2, no cache","firefox 71",500,0.729
"h2, no cache","firefox 71",500,0.708
"h2, no cache","firefox 71",500,0.685
"h2, no cache","firefox 71",500,0.691
"h2, no cache","firefox 71",500,0.714
"h2, no cache","firefox 71",500,0.773
"h2, no cache","firefox 71",500,0.662
"h2, no cache","firefox 71",500,0.655
"h2, no cache","firefox 71",500,0.675
"h2, no cache","firefox 71",500,0.717
"h2, no cache","firefox 71",500,0.728
"h2, no cache","firefox 71",500,0.645
"h2, no cache","firefox 71",500,0.692
"h2, no cache","firefox 71",500,0.658
"h2, no cache","firefox 71",500,0.614
"h2, no cache","firefox 71",500,0.77
"h2, no cache","firefox 71",500,2.54
"h2, no cache","firefox 71",500,1.906
"h2, no cache","firefox 71",500,0.734
"h2, no cache, compound","firefox 71",500,0.526
"h2, no cache, compound","firefox 71",500,0.346
"h2, no cache, compound","firefox 71",500,0.519
"h2, no cache, compound","firefox 71",500,1.203
"h2, no cache, compound","firefox 71",500,1.146
"h2, no cache, compound","firefox 71",500,1.199
"h2, no cache, compound","firefox 71",500,0.44
"h2, no cache, compound","firefox 71",500,0.446
"h2, no cache, compound","firefox 71",500,0.449
"h2, no cache, compound","firefox 71",500,0.437
"h2, no cache, compound","firefox 71",500,0.463
"h2, no cache, compound","firefox 71",500,0.477
"h2, no cache, compound","firefox 71",500,0.378
"h2, no cache, compound","firefox 71",500,0.4
